Ward_id,Ward_id2,Ward,Price
13101,131016,千代田区,7059000
13102,131024,中央区,6010000
13103,131032,港区,3860000
13104,131041,新宿区,3762000
13105,131059,文京区,1184000
13106,131067,台東区,1297000
13107,131075,墨田区,556000
13108,131083,江東区,580000
13109,131091,品川区,920000
13110,131105,目黒区,1124000
13111,131113,大田区,548000
13112,131121,世田谷区,677000
13113,131130,渋谷区,3150000
13114,131148,中野区,819000
13115,131156,杉並区,657000
13116,131164,豊島区,1519000
13117,131172,北区,628000
13118,131181,荒川区,604000
13119,131199,板橋区,523000
13120,131202,練馬区,435000
13121,131211,足立区,371000
13122,131229,葛飾区,359000
13123,131237,江戸川区,422000